,Date_Reported,EventID,CaseID,Offense_Category,Offense_Description,Initial_Incident_Category,Initial_Incident_Description,Final_Incident_Category,Final_Incident_Description,Date_From,Date_To,Location,Location_Type,Disposition
568,2024-01-16 17:59,24-01-16-016574,2400214,THEFT-PETTY,Theft Bicycle,THEFT-PETTY,Theft Bicycle,THEFT-PETTY,Theft Bicycle,2024-01-16 16:00,2024-01-16 17:49,RALPH AND GOLDY LEWIS HALL,On Campus,Inactive Investigation
569,2024-01-16 17:22,24-01-16-016544,2400212,VEHICLE CODE,Hit & Run,PROPERTY,Damaged Property,VEHICLE CODE,Hit & Run Misdemeanor,2024-01-16 07:50,2024-01-16 17:09,USC SHRINE STRUCTURE,On Campus,CLOSED
570,2024-01-16 16:43,24-01-16-016489,2400211,THEFT-PETTY,Theft Bicycle,THEFT-PETTY,Theft Bicycle,THEFT-PETTY,Theft Bicycle,2024-01-11 17:00,2024-01-12 08:00,600 Block Of  30TH ST,Non-reportable location,Inactive Investigation
571,2024-01-16 16:41,24-01-16-016486,2400210,THEFT-PETTY,Theft Bicycle,THEFT-PETTY,Theft Bicycle,THEFT-PETTY,Theft Bicycle,2024-01-02 22:00,2024-01-03 10:00,2700 Block Of  MENLO AV,Non-reportable location,Inactive Investigation
572,2024-01-16 16:24,24-01-16-016479,,,,TRESPASS,Trespassing,TRESPASS,Trespassing,2024-01-16 16:24,2024-01-16 16:24,ALLYSON FELIX FIELD,On Campus,ADVISED & COMPLIED
573,2024-01-16 16:21,24-01-16-016476,,,,LA MUNICIPAL CODE,Playing Game or Sport on Sidewalk,LA MUNICIPAL CODE,Playing Game or Sport on Sidewalk,2024-01-16 16:21,2024-01-16 16:21,HERITAGE HALL,On Campus,ADVISED & COMPLIED
574,2024-01-16 16:19,24-01-16-016472,,,,LA MUNICIPAL CODE,Playing Game or Sport on Sidewalk,LA MUNICIPAL CODE,Playing Game or Sport on Sidewalk,2024-01-16 16:19,2024-01-16 16:19,MRS. WILLIS H. BOOTH FERRIS REHEARSAL HALL,On Campus,CANCELLED EVENT
575,2024-01-16 15:25,24-01-16-016426,2400209,SERVICE,Injury Response,SERVICE,Injury Response,SERVICE,Injury Response,2024-01-16 15:25,2024-01-16 15:25,BING THEATRE,On Campus,CLOSED
576,2024-01-16 13:40,24-01-16-016321,2400206,MOTOR VEHICLE THEFT,Theft of Motorized Bicycle/Scooter/Skateboard,MOTOR VEHICLE THEFT,Theft of Motorized Bicycle/Scooter/Skateboard,MOTOR VEHICLE THEFT,Theft of Motorized Bicycle/Scooter/Skateboard,2024-01-15 19:04,2024-01-16 07:45,GENERAL WILLIAM LYON UNIVERSITY CENTER,On Campus,Inactive Investigation
577,2024-01-16 13:22,24-01-16-016307,2400207,BATTERY,Battery,BATTERY,Battery,BATTERY,Battery,2024-01-12 10:45,2024-01-12 10:50,KECK HOSPITAL OF USC,On Campus,Inactive Investigation
578,2024-01-16 13:21,24-01-16-016305,2400204,THEFT-PETTY,Theft Bicycle,THEFT-PETTY,Theft Bicycle,THEFT-PETTY,Theft Bicycle,2023-11-19 14:00,2023-11-27 09:00,600 Block Of  28TH ST,Non-campus building or property,Inactive Investigation
579,2024-01-16 13:12,24-01-16-016301,2400205,THEFT-MOTOR VEHICLE,Theft from Motor Vehicle,THEFT-MOTOR VEHICLE,Attempt Theft From Motor Vehicle,THEFT-MOTOR VEHICLE,Theft from Motor Vehicle,2024-01-16 09:30,2024-01-16 13:10,HEALTH SCIENCES CAMPUS PARKING STRUCTURE,On Campus,Inactive Investigation
580,2024-01-16 11:07,24-01-16-016188,2400203,THEFT-PETTY,Theft Bicycle,THEFT-PETTY,Theft Bicycle,THEFT-PETTY,Theft Bicycle,2023-12-16 10:00,2024-01-08 14:00,MARK TAPER HALL OF HUMANITIES,On Campus,Inactive Investigation
581,2024-01-16 10:46,24-01-16-016169,2400202,SEX OFFENSE,Sexual Battery,SEX OFFENSE,Sexual Battery,SEX OFFENSE,Sexual Battery,2024-01-13 20:00,2024-01-13 20:00,HELLMAN WY & TROUSDALE PKY,On Campus,Inactive Investigation
582,2024-01-16 10:04,24-01-16-016141,2400201,TRAFFIC,Traffic Collision - Bicycle,TRAFFIC,Traffic Collision - Bicycle,TRAFFIC,Traffic Collision - Bicycle.1,2024-01-16 08:06,2024-01-16 08:06,30TH ST & ORCHARD AV,Non-reportable location,CLOSED
583,2024-01-16 09:27,24-01-16-016122,2400200,MOTOR VEHICLE THEFT,Attempt Theft-Motorized Golf/Utility Cart,MOTOR VEHICLE THEFT,Attempt Theft-Motorized Golf/Utility Cart,MOTOR VEHICLE THEFT,Attempt Theft-Motorized Golf/Utility Cart,2024-01-12 15:00,2024-01-16 09:00,JOHN STAUFFER HALL OF SCIENCE,On Campus,Inactive Investigation
584,2024-01-16 08:52,24-01-16-016096,2400199,MOTOR VEHICLE THEFT,Grand Theft Auto,MOTOR VEHICLE THEFT,Grand Theft Auto,MOTOR VEHICLE THEFT,Grand Theft Auto,2024-01-16 04:30,2024-01-16 08:30,1500 Block Of  SOTO ST,Non-campus building or property,Inactive Investigation
585,2024-01-16 05:42,24-01-16-015951,2400198,TRAFFIC,Traffic Collision - Pedestrian,TRAFFIC,Traffic Collision - Pedestrian,TRAFFIC,Traffic Collision - Pedestrian,2024-01-16 05:40,2024-01-16 05:40,JEFFERSON BL & WATT WY,On Campus,CLOSED
586,2024-01-16 04:04,24-01-16-015905,2400197,DISORDERLY CONDUCT,"Prowling, Loitering",ADMINISTRATIVE,Camera Observation,DISORDERLY CONDUCT,"Prowling, Loitering",2024-01-16 04:04,2024-01-16 04:04,CARDINAL GARDENS ALLEY,On Campus,Inactive Investigation
587,2024-01-16 01:42,24-01-16-015822,,,,LA MUNICIPAL CODE,Loud and Raucous Noise,LA MUNICIPAL CODE,Loud and Raucous Noise,2024-01-16 01:42,2024-01-16 01:42,GALEN EVENT CENTER,On Campus,REQUEST COMPLETED
588,2024-01-15 23:35,24-01-15-015741,2400196,SERVICE,Incident Report - No Crime,BURGLARY,Burglary-Hot Prowl,SERVICE,Incident Report - No Crime,2024-01-15 23:35,2024-01-15 23:35,1100 Block Of  29TH ST,Non-campus building or property,Inactive Investigation
589,2024-01-15 22:48,24-01-15-015685,,,,LA MUNICIPAL CODE,Loud and Raucous Noise,LA MUNICIPAL CODE,Loud and Raucous Noise,2024-01-15 22:48,2024-01-15 22:48,2700 Block Of  MENLO AV,Non-reportable location,ADVISED & COMPLIED
590,2024-01-15 20:27,24-01-15-015555,2400195,FIRE,Alarm Activation,FIRE,Alarm Activation,FIRE,Alarm Activation,2024-01-15 20:27,2024-01-15 20:27,SHELLY & OFER NEMIROVSKY AND DAVID C. BOHNETT RESIDENTIAL COLLEGE,On Campus Residential Facility,CLOSED
591,2024-01-15 19:43,24-01-15-015531,,,,OBSERVATIONS,Unhoused Activity,DISTURBANCE,Disturbing The Peace,2024-01-15 19:43,2024-01-15 19:43,HYATT HOTEL HOUSE,On Campus,UNABLE TO LOCATE - GONE ON ARRIVAL
592,2024-01-15 17:35,24-01-15-015454,,,,LA MUNICIPAL CODE,Playing Game or Sport on Sidewalk,LA MUNICIPAL CODE,Playing Game or Sport on Sidewalk,2024-01-15 17:35,2024-01-15 17:35,CENTER FOR HEALTH PROFESSIONS,On Campus,ADVISED & COMPLIED
593,2024-01-15 16:45,24-01-15-015419,,,,TRESPASS,Trespassing,TRESPASS,Trespassing,2024-01-15 16:45,2024-01-15 16:45,2600 Block Of  HOOVER ST,Non-reportable location,UNABLE TO LOCATE - GONE ON ARRIVAL
594,2024-01-15 16:39,24-01-15-015408,,,,DISTURBANCE,Disturbing The Peace,DISTURBANCE,Disturbing The Peace,2024-01-15 16:39,2024-01-15 16:39,32ND ST & FIGUEROA ST,Non-reportable location,REQUEST COMPLETED
595,2024-01-15 14:50,24-01-15-015316,2400194,THEFT-PETTY,Theft Bicycle,THEFT-PETTY,Theft Petty - Plain,THEFT-PETTY,Theft Bicycle,2024-01-15 11:15,2024-01-15 13:15,BRITTINGHAM INTRAMURAL FIELD,On Campus,Inactive Investigation
596,2024-01-15 14:05,24-01-15-015273,2400193,SERVICE,Illness Response,SERVICE,Illness Response,SERVICE,Illness Response,2024-01-15 14:05,2024-01-15 14:05,MUSIC PRACTICE AND INSTRUCTIONAL CENTER-USC LEASE,On Campus,CLOSED
597,2024-01-15 13:35,24-01-15-015239,,,,LA MUNICIPAL CODE,Loud and Raucous Noise,FIRE,Fire Exit,2024-01-15 13:35,2024-01-15 13:35,THE MUSIC COMPLEX,On Campus,ADVISED & COMPLIED
598,2024-01-15 09:14,24-01-15-015038,2400191,BATTERY,Battery,BATTERY,Battery,BATTERY,Battery,2024-01-08 22:00,2024-01-08 22:00,KECK HOSPITAL OF USC,On Campus,Cleared Other
599,2024-01-15 09:12,24-01-15-015036,,,,CRIMINAL THREATS,Criminal Threats,OFFICER STATUS,Notification,2024-01-15 09:12,2024-01-15 09:12,KECK HOSPITAL OF USC,On Campus,REPORT TAKEN
600,2024-01-15 09:08,24-01-15-015030,2400189,BATTERY,Battery,BATTERY,Battery,BATTERY,Battery,2023-12-29 10:30,2023-12-29 10:30,KECK HOSPITAL OF USC,On Campus,Cleared Other
601,2024-01-15 09:05,24-01-15-015032,2400190,PROPERTY,Recovered/Impounded Bicycle/Scooter,PROPERTY,Recovered/Impounded Bicycle/Scooter,PROPERTY,Recovered/Impounded Bicycle/Scooter,2024-01-15 09:05,2024-01-15 09:05,B OF A LAWN,On Campus,CLOSED
602,2024-01-15 09:03,24-01-15-015029,2400188,CRIMINAL THREATS,Criminal Threats,CRIMINAL THREATS,Criminal Threats,CRIMINAL THREATS,Criminal Threats,2023-12-23 20:00,2023-12-23 20:00,KECK HOSPITAL OF USC,On Campus,Cleared Other
603,2024-01-15 09:00,24-01-15-015026,2400187,PROPERTY,Lost/Missing Property,PROPERTY,Lost/Missing Property,PROPERTY,Lost/Missing Property,2023-12-22 13:00,2023-12-22 13:00,KECK HOSPITAL OF USC,On Campus,Inactive Investigation
604,2024-01-15 08:56,24-01-15-015024,2400186,ADMINISTRATIVE,Report Voided,BATTERY,Battery,BATTERY,Battery,2023-12-22 15:11,2023-12-22 15:11,KECK HOSPITAL OF USC,On Campus,Void
605,2024-01-15 08:51,24-01-15-015019,2400185,BATTERY,Battery,BATTERY,Battery,BATTERY,Battery,2023-12-22 17:49,2023-12-23 17:49,KECK HOSPITAL OF USC,On Campus,Cleared Other
606,2024-01-15 08:45,24-01-15-015014,2400184,THEFT-GRAND,Theft Grand-Plain,THEFT-GRAND,Theft Grand-Plain,THEFT-GRAND,Theft Grand-Plain,2023-12-20 16:00,2023-12-20 16:00,1500 Block Of  SAN PABLO ST,Non-campus building or property,Investigation Continued
607,2024-01-15 08:37,24-01-15-015009,2400183,ASSAULT-OTHER,"Assault - Other Simple, Not Aggravated",ASSAULT-OTHER,"Assault - Other Simple, Not Aggravated",ASSAULT-OTHER,"Assault - Other Simple, Not Aggravated",2023-12-14 08:30,2023-12-14 08:30,KECK HOSPITAL OF USC,On Campus,Cleared Other
608,2024-01-15 06:02,24-01-15-014924,2400182,SERVICE,Missing/Found Persons,SERVICE,Missing/Found Persons,SERVICE,Missing/Found Persons,2024-01-15 03:00,2024-01-15 05:40,DAVID X. MARKS TOWER,On Campus Residential Facility,Inactive Investigation
609,2024-01-15 01:18,24-01-15-014761,,,,LA MUNICIPAL CODE,Loud and Raucous Noise,LA MUNICIPAL CODE,Loud and Raucous Noise,2024-01-15 01:18,2024-01-15 01:18,2800 Block Of  MENLO AV,Non-reportable location,UNABLE TO LOCATE - GONE ON ARRIVAL
610,2024-01-15 01:14,24-01-15-014757,,,,LA MUNICIPAL CODE,Loud and Raucous Noise,LA MUNICIPAL CODE,Loud and Raucous Noise,2024-01-15 01:14,2024-01-15 01:14,700 Block Of  28TH ST,Non-reportable location,UNABLE TO LOCATE - GONE ON ARRIVAL
611,2024-01-15 00:12,24-01-15-014720,,,,LA MUNICIPAL CODE,Loud and Raucous Noise,LA MUNICIPAL CODE,Loud and Raucous Noise,2024-01-15 00:12,2024-01-15 00:12,1100 Block Of  27TH ST,Non-reportable location,CANCELLED EVENT
612,2024-01-14 23:56,24-01-14-014710,,,,LA MUNICIPAL CODE,Loud and Raucous Noise,LA MUNICIPAL CODE,Loud and Raucous Noise,2024-01-14 23:56,2024-01-14 23:56,1100 Block Of  27TH ST,Non-reportable location,REQUEST COMPLETED
613,2024-01-14 23:28,24-01-14-014691,2400181,DISTURBANCE,Disturbing The Peace,DISTURBANCE,Disturbing The Peace,DISTURBANCE,Disturbing The Peace,2024-01-14 23:27,2024-01-14 23:27,ROCK & REILLY'S,On Campus,Inactive Investigation
614,2024-01-14 23:27,24-01-14-014689,2400180,PROPERTY,Recovered/Impounded Vehicle,ADMINISTRATIVE,Camera Observation,PROPERTY,Recovered/Impounded Vehicle,2024-01-14 21:00,2024-01-14 21:00,4100 Block Of  VALLEY BL,Non-campus building or property,Inactive Investigation
615,2024-01-14 23:17,24-01-14-014683,,,,LA MUNICIPAL CODE,Loud and Raucous Noise,LA MUNICIPAL CODE,Loud and Raucous Noise,2024-01-14 23:17,2024-01-14 23:17,1100 Block Of  ADAMS BL,Non-reportable location,ADVISED & COMPLIED
616,2024-01-14 23:08,24-01-14-014675,2400179,SERVICE,Party/Event Shut Down,LA MUNICIPAL CODE,Loud and Raucous Noise,SERVICE,Party/Event Shut Down,2024-01-14 22:30,2024-01-14 22:30,1100 Block Of  28TH ST,Non-reportable location,Inactive Investigation
617,2024-01-14 23:04,24-01-14-014672,,,,LA MUNICIPAL CODE,Loud and Raucous Noise,LA MUNICIPAL CODE,Loud and Raucous Noise,2024-01-14 23:04,2024-01-14 23:04,2600 Block Of  ORCHARD AV,Non-reportable location,ADVISED & COMPLIED
618,2024-01-14 22:44,24-01-14-014660,2400178,VEHICLE CODE,Hit & Run,VEHICLE CODE,Hit & Run  Misdemeanor,VEHICLE CODE,Hit & Run Misdemeanor,2024-01-14 22:27,2024-01-14 22:27,36TH PL & CATALINA ST,Non-reportable location,Inactive Investigation
619,2024-01-14 22:32,24-01-14-014649,2400177,SERVICE,Party/Event Shut Down,LA MUNICIPAL CODE,Loud and Raucous Noise,SERVICE,Party/Event Shut Down,2024-01-14 22:30,2024-01-14 22:30,2800 Block Of  ORCHARD AV,Non-reportable location,Inactive Investigation
620,2024-01-14 22:07,24-01-14-014622,,,,LA MUNICIPAL CODE,Loud and Raucous Noise,LA MUNICIPAL CODE,Loud and Raucous Noise,2024-01-14 22:07,2024-01-14 22:07,1100 Block Of  28TH ST,Non-reportable location,ADVISED & COMPLIED
621,2024-01-14 21:53,24-01-14-014605,,,,LA MUNICIPAL CODE,Loud and Raucous Noise,LA MUNICIPAL CODE,Loud and Raucous Noise,2024-01-14 21:53,2024-01-14 21:53,1100 Block Of  30TH ST,Non-reportable location,ADVISED & COMPLIED
622,2024-01-14 21:53,24-01-14-014613,,,,DISORDERLY CONDUCT,"Prowling, Loitering",DISORDERLY CONDUCT,"Prowling, Loitering",2024-01-14 21:53,2024-01-14 21:53,EILEEN & KENNETH T. NORRIS DENTAL SCIENCE CENTER,On Campus,UNABLE TO LOCATE - GONE ON ARRIVAL
623,2024-01-14 21:41,24-01-14-014595,,,,LA MUNICIPAL CODE,Loud and Raucous Noise,LA MUNICIPAL CODE,Loud and Raucous Noise,2024-01-14 21:41,2024-01-14 21:41,2800 Block Of  ORCHARD AV,Non-reportable location,ADVISED & COMPLIED
624,2024-01-14 21:04,24-01-14-014555,2400174,MOTOR VEHICLE THEFT,Grand Theft Auto,MOTOR VEHICLE THEFT,Grand Theft Auto,MOTOR VEHICLE THEFT,Grand Theft Auto,2023-12-22 18:30,2024-01-14 20:30,SAN PABLO PARKING STRUCTURE,On Campus,Inactive Investigation
625,2024-01-14 20:57,24-01-14-014546,,,,DISTURBANCE,Disturbing The Peace,DISTURBANCE,Disturbing The Peace,2024-01-14 20:57,2024-01-14 20:57,ROCK & REILLY'S,On Campus,RESOLVED UPON ARRIVAL
626,2024-01-14 20:15,24-01-14-014529,,,,DISORDERLY CONDUCT,"Prowling, Loitering",DISORDERLY CONDUCT,"Prowling, Loitering",2024-01-14 20:15,2024-01-14 20:15,SEELEY WINTERSMITH MUDD MEMORIAL HALL OF PHILOSOPH,On Campus,REQUEST COMPLETED
627,2024-01-14 20:08,24-01-14-014526,,,,DISTURBANCE,Disturbing The Peace,DISTURBANCE,Disturbing The Peace,2024-01-14 20:08,2024-01-14 20:08,CAVA,On Campus,REQUEST COMPLETED
628,2024-01-14 19:51,24-01-14-014518,2400173,ROBBERY,Robbery - Firearm-Attempt,OFFICER STATUS,LAPD Radio Call,ROBBERY,Robbery - Firearm-Attempt,2024-01-14 19:51,2024-01-14 19:51,3500 Block Of  FIGUEROA ST,Non-reportable location,Inactive Investigation
629,2024-01-14 17:53,24-01-14-014456,2400171,THEFT-PETTY,Theft Bicycle,THEFT-PETTY,Theft Bicycle,THEFT-PETTY,Theft Bicycle,2024-01-12 14:00,2024-01-14 12:00,1100 Block Of  37TH PL,Non-reportable location,Investigation Continued
630,2024-01-14 17:34,24-01-14-014444,2400172,MOTOR VEHICLE THEFT,Theft of Motorized Bicycle/Scooter/Skateboard,MOTOR VEHICLE THEFT,Theft of Motorized Bicycle/Scooter/Skateboard,MOTOR VEHICLE THEFT,Theft of Motorized Bicycle/Scooter/Skateboard,2024-01-14 17:34,2024-01-14 17:34,JEFFERSON BLVD. STRUCTURE,On Campus,Inactive Investigation
631,2024-01-14 17:34,24-01-14-014630,2400175,MOTOR VEHICLE THEFT,Theft of Motorized Bicycle/Scooter/Skateboard,MOTOR VEHICLE THEFT,Theft of Motorized Bicycle/Scooter/Skateboard,MOTOR VEHICLE THEFT,Theft of Motorized Bicycle/Scooter/Skateboard,2024-01-14 17:34,2024-01-14 17:34,JEFFERSON BLVD. STRUCTURE,On Campus,Inactive Investigation
632,2024-01-14 17:34,24-01-14-014637,2400176,MOTOR VEHICLE THEFT,Theft of Motorized Bicycle/Scooter/Skateboard,MOTOR VEHICLE THEFT,Theft of Motorized Bicycle/Scooter/Skateboard,MOTOR VEHICLE THEFT,Theft of Motorized Bicycle/Scooter/Skateboard,2024-01-14 17:34,2024-01-14 17:34,JEFFERSON BLVD. STRUCTURE,On Campus,Inactive Investigation
633,2024-01-14 16:08,24-01-14-014387,,,,LA MUNICIPAL CODE,Playing Game or Sport on Sidewalk,LA MUNICIPAL CODE,Playing Game or Sport on Sidewalk,2024-01-14 16:08,2024-01-14 16:08,3400 Block Of  GRAND AV,Non-campus building or property,ADVISED & COMPLIED
634,2024-01-14 15:03,24-01-14-014348,,,,DISTURBANCE,Disturbing The Peace,DISTURBANCE,Disturbing The Peace,2024-01-14 15:03,2024-01-14 15:03,GALEN EVENT CENTER,On Campus,RESOLVED UPON ARRIVAL
635,2024-01-14 13:18,24-01-14-014272,,,,LA MUNICIPAL CODE,Playing Game or Sport on Sidewalk,LA MUNICIPAL CODE,Playing Game or Sport on Sidewalk,2024-01-14 13:18,2024-01-14 13:18,PERTUSATI UNIVERSITY BOOKSTORE,On Campus,REQUEST COMPLETED
636,2024-01-14 12:41,24-01-14-014250,2400192,HARASSMENT,Stalking,OFFICER STATUS,Out for Investigation,HARASSMENT,Stalking,2024-01-14 12:41,2024-01-14 12:41,GALEN EVENT CENTER,On Campus,Inactive Investigation
637,2024-01-14 12:10,24-01-14-014232,2400170,MOTOR VEHICLE THEFT,Grand Theft Auto,MOTOR VEHICLE THEFT,Grand Theft Auto,MOTOR VEHICLE THEFT,Grand Theft Auto,2023-12-13 10:30,2024-01-13 18:30,1000 Block Of  30TH ST,Non-reportable location,Inactive Investigation
638,2024-01-14 12:04,24-01-14-014233,2400169,THEFT-MOTOR VEHICLE,Theft from Motor Vehicle,THEFT-MOTOR VEHICLE,Theft from Motor Vehicle.1,THEFT-MOTOR VEHICLE,Theft from Motor Vehicle.2,2024-01-08 22:30,2024-01-14 12:01,USC SHRINE STRUCTURE,On Campus,Open
639,2024-01-14 09:30,24-01-14-014141,2400168,BURGLARY,Burglary-Hot Prowl,DISORDERLY CONDUCT,"Prowling, Loitering",BURGLARY,Burglary-Hot Prowl,2024-01-14 09:10,2024-01-14 09:10,1100 Block Of  37TH PL,Non-reportable location,Inactive Investigation
640,2024-01-14 06:38,24-01-14-014045,2400167,SERVICE,Incident Report - No Crime,ADMINISTRATIVE,Camera Observation,SERVICE,Incident Report - No Crime,2024-01-14 06:38,2024-01-14 06:38,27TH ST & HOOVER ST,Non-reportable location,Inactive Investigation
641,2024-01-14 03:29,24-01-14-013957,,,,LA MUNICIPAL CODE,Loud and Raucous Noise,LA MUNICIPAL CODE,Loud and Raucous Noise,2024-01-14 03:29,2024-01-14 03:29,1200 Block Of  ADAMS BL,Non-reportable location,ADVISED & COMPLIED
642,2024-01-14 01:35,24-01-14-013886,,,,LA MUNICIPAL CODE,Loud and Raucous Noise,LA MUNICIPAL CODE,Loud and Raucous Noise,2024-01-14 01:35,2024-01-14 01:35,3000 Block Of  SHRINE PL,Non-reportable location,UNABLE TO LOCATE - GONE ON ARRIVAL
643,2024-01-14 00:53,24-01-14-013829,2400165,ROBBERY,Robbery-Knife or Cutting Instrument - Attempt,ROBBERY,Robbery-Knife or Cutting Instrument - Attempt,ROBBERY,Robbery-Knife or Cutting Instrument - Attempt,2024-01-13 20:00,2024-01-13 20:15,28TH ST & PORTLAND ST,Non-reportable location,Inactive Investigation
644,2024-01-14 00:36,24-01-14-013846,,,,SEX OFFENSE,Sexual Battery,SEX OFFENSE,Sexual Battery,2024-01-14 00:36,2024-01-14 00:36,HELLMAN WY & TROUSDALE PKY,On Campus,PENDING INVESTIGATION
645,2024-01-14 00:04,24-01-14-013825,,,,DISTURBANCE,Disturbing The Peace,DISTURBANCE,Disturbing The Peace,2024-01-14 00:04,2024-01-14 00:04,DOWNEY WAY ENTRANCE,On Campus,ADVISED & COMPLIED
646,2024-01-13 23:49,24-01-13-013818,,,,TRESPASS,Trespassing,TRESPASS,Trespassing,2024-01-13 23:49,2024-01-13 23:49,3000 Block Of  SHRINE PL,Non-reportable location,REQUEST COMPLETED
647,2024-01-13 23:47,24-01-13-013814,,,,LA MUNICIPAL CODE,Loud and Raucous Noise,LA MUNICIPAL CODE,Loud and Raucous Noise,2024-01-13 23:47,2024-01-13 23:47,30TH ST & SHRINE PL,Non-reportable location,CANCELLED EVENT
648,2024-01-13 23:42,24-01-13-013811,,,,LA MUNICIPAL CODE,Loud and Raucous Noise,LA MUNICIPAL CODE,Loud and Raucous Noise,2024-01-13 23:42,2024-01-13 23:42,30TH ST & SHRINE PL,Non-reportable location,CANCELLED EVENT
649,2024-01-13 23:13,24-01-13-013776,,,,LA MUNICIPAL CODE,Loud and Raucous Noise,LA MUNICIPAL CODE,Loud and Raucous Noise,2024-01-13 23:13,2024-01-13 23:13,3000 Block Of  SHRINE PL,Non-reportable location,ADVISED & COMPLIED
650,2024-01-13 23:04,24-01-13-013767,,,,DISTURBANCE,Disturbing The Peace,DISTURBANCE,Disturbing The Peace,2024-01-13 23:04,2024-01-13 23:04,HYATT HOTEL HOUSE,On Campus,CANCELLED EVENT
651,2024-01-13 23:03,24-01-13-013762,2400163,TRAFFIC,Traffic Collision Without Injuries,OFFICER STATUS,Out for Investigation,TRAFFIC,Traffic Collision Without Injuries,2024-01-13 23:03,2024-01-13 23:03,JOHN HUBBARD HALL,On Campus,CLOSED
652,2024-01-13 23:02,24-01-13-013765,2400164,SERVICE,Party/Event Shut Down,LA MUNICIPAL CODE,Loud and Raucous Noise,SERVICE,Party/Event Shut Down,2024-01-13 22:30,2024-01-13 22:30,1100 Block Of  35TH ST,Non-reportable location,Inactive Investigation
653,2024-01-13 22:44,24-01-13-013760,2400166,MOTOR VEHICLE THEFT,Attempt Grand Theft Auto,MOTOR VEHICLE THEFT,Attempt Grand Theft Auto,MOTOR VEHICLE THEFT,Attempt Grand Theft Auto,2024-01-13 22:44,2024-01-13 22:44,ADAMS BL & ORCHARD ST,Non-reportable location,Inactive Investigation
654,2024-01-13 21:32,24-01-13-013684,,,,LA MUNICIPAL CODE,Loud and Raucous Noise,LA MUNICIPAL CODE,Loud and Raucous Noise,2024-01-13 21:32,2024-01-13 21:32,2700 Block Of  MENLO AV,Non-reportable location,CANCELLED EVENT
655,2024-01-13 21:13,24-01-13-013670,,,,LA MUNICIPAL CODE,Loud and Raucous Noise,LA MUNICIPAL CODE,Loud and Raucous Noise,2024-01-13 21:13,2024-01-13 21:13,2700 Block Of  MENLO AV,Non-reportable location,ADVISED & COMPLIED
656,2024-01-13 20:08,24-01-13-013647,,,,PROPERTY,Lost/Missing Property,MOTOR VEHICLE THEFT,Grand Theft Auto,2024-01-13 20:08,2024-01-13 20:08,SAN PABLO LOT,On Campus,REQUEST COMPLETED
657,2024-01-13 20:06,24-01-13-013643,2400162,ASSAULT,Assault-Firearm // VANDALISM,ADMINISTRATIVE,Camera Observation,ASSAULT,Assault-Firearm,2024-01-13 20:06,2024-01-13 20:06,28TH ST & HOOVER ST,Non-reportable location,Inactive Investigation
658,2024-01-13 19:50,24-01-13-013640,2400161,DISORDERLY CONDUCT,"Prowling, Loitering",SERVICE,Incident Report - No Crime,DISORDERLY CONDUCT,"Prowling, Loitering",2024-01-13 19:46,2024-01-13 19:46,1000 Block Of  30TH ST,Non-reportable location,Inactive Investigation
659,2024-01-13 17:39,24-01-13-013559,2400160,THEFT-PETTY,Theft Petty - Plain,THEFT-PETTY,Theft Petty - Plain,THEFT-PETTY,Theft Petty - Plain,2024-01-13 08:00,2024-01-13 15:00,PARKSIDE RESIDENTIAL BUILDING,On Campus Residential Facility,Inactive Investigation
660,2024-01-13 16:08,24-01-13-013482,,,,LA MUNICIPAL CODE,Playing Game or Sport on Sidewalk,LA MUNICIPAL CODE,Playing Game or Sport on Sidewalk,2024-01-13 16:08,2024-01-13 16:08,KENNETH NORRIS JR. CANCER HOSPITAL RESEARCH INSTIT,On Campus,REQUEST COMPLETED
661,2024-01-13 14:58,24-01-13-013433,2400158,FIRE,Alarm Malicious,OFFICER STATUS,Out for Investigation,FIRE,Alarm Malicious,2024-01-13 14:58,2024-01-13 14:58,JOHN STAUFFER SCIENCE LECTURE HALL,On Campus,CLOSED
662,2024-01-13 14:51,24-01-13-013429,2400159,ASSAULT,Assault-Other Dangerous Weapon,OFFICER STATUS,Out for Investigation-Flag Down,ASSAULT,Assault-Other Dangerous Weapon,2024-01-13 14:41,2024-01-13 14:51,3300 Block Of  FIGUEROA ST,Non-reportable location,Inactive Investigation
663,2024-01-13 11:11,24-01-13-013269,2400157,EH&S,Hazardous Materials,EH&S,Hazardous Materials,EH&S,Hazardous Materials,2024-01-13 11:11,2024-01-13 11:11,SAN PABLO ST & EASTLAKE AV,Public property,Inactive Investigation
664,2024-01-13 10:04,24-01-13-013228,2400156,PROPERTY,Damaged Property,PROPERTY,Damaged Property,PROPERTY,Damaged Property,2024-01-13 10:04,2024-01-13 10:04,34TH ST & WATT WY,On Campus,Inactive Investigation
665,2024-01-13 03:26,24-01-13-013005,,,,LA MUNICIPAL CODE,Loud and Raucous Noise,LA MUNICIPAL CODE,Loud and Raucous Noise,2024-01-13 03:26,2024-01-13 03:26,1200 Block Of  ADAMS BL,Non-reportable location,ADVISED & COMPLIED
666,2024-01-13 01:08,24-01-13-012917,,,,LA MUNICIPAL CODE,Loud and Raucous Noise,LA MUNICIPAL CODE,Loud and Raucous Noise,2024-01-13 01:08,2024-01-13 01:08,1100 Block Of  24TH ST,Non-reportable location,ADVISED & COMPLIED
